library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib61_SARSr-wts,C68_3_01_bin1,C68_3,1,1,221202,474084,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s1_b1_S1_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_01_bin2,C68_3,2,1,221202,413453,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s1_b2_S37_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_01_bin3,C68_3,3,1,221202,16612,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s1_b3_S3_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_01_bin4,C68_3,4,1,221202,158308,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s1_b4_S38_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_02_bin1,C68_3,1,2,221202,653975,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s2_b1_S39_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_02_bin2,C68_3,2,2,221202,259584,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s2_b2_S40_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_02_bin3,C68_3,3,2,221202,24050,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s2_b3_S7_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_02_bin4,C68_3,4,2,221202,149651,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s2_b4_S8_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_03_bin1,C68_3,1,3,221202,816869,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s3_b1_S41_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_03_bin2,C68_3,2,3,221202,114509,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s3_b2_S10_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_03_bin3,C68_3,3,3,221202,115720,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s3_b3_S11_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_03_bin4,C68_3,4,3,221202,42663,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s3_b4_S12_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_04_bin1,C68_3,1,4,221202,899866,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s4_b1_S13_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_04_bin2,C68_3,2,4,221202,185960,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s4_b2_S14_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_04_bin3,C68_3,3,4,221202,54488,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s4_b3_S15_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_04_bin4,C68_3,4,4,221202,34,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s4_b4_S16_R1_001.fastq.gz
lib61_SARSr-wts,C68_3_05_bin1,C68_3,1,5,221202,919590,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2022/221208_Overbaugh-mAb-breadth-v1/221202_s5_b1_S17_R1_001.fastq.gz
